song,setting_key,mood_key,description,location,link,license
War Shout [Loop Ready] by Alexander Nakarada,Northern,Travel/Background,Strong Celtic/Viking vibe,audio/war-shout-loop-ready-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/9158-war-shout-loop-ready,https://filmmusic.io/standard-license
Welcome To Horrorland by Kevin MacLeod,Dungeon,Ominous,Quickly building tension. Bad thing here!,audio/welcome-to-horrorland-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5016-welcome-to-horrorland,https://filmmusic.io/standard-license
Wind Of The Rainforest Preview by Kevin MacLeod,Forest,Serene,Peaceful. Rain sound effects,audio/wind-of-the-rainforest-preview-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5729-wind-of-the-rainforest-preview,https://filmmusic.io/standard-license
Wintersong - Melodic Celtic Fantasy by Alexander Nakarada,Northern,Travel/Background,Melancoly slow tempo. Sad feeling,audio/wintersong---melodic-celtic-fantasy-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/5722-wintersong---melodic-celtic-fantasy,https://filmmusic.io/standard-license
Wretched Destroyer by Kevin MacLeod,Dungeon,Ominous,"""You are now facing the boss"" feeling",audio/wretched-destroyer-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5017-wretched-destroyer,https://filmmusic.io/standard-license
Zanzibar by Kevin MacLeod,Jungle,Travel/Background,Positive feeling. Happy town or celebration,audio/zanzibar-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5019-zanzibar,https://filmmusic.io/standard-license
Bustling Market by chilledmusic,Mid East or African,Market,Upbeat relaxed market vibe,audio/bustling-market--by-chilledmusic-from-filmmusic-io.mp3,https://filmmusic.io/song/8292-bustling-market-,https://filmmusic.io/standard-license
Summer Party 2 by Frank Schröter,Mid East or African,Market,Lively marimba-esque vibe,audio/summer-party-2-by-frank-schrter-from-filmmusic-io.mp3,https://filmmusic.io/song/9236-summer-party-2,https://filmmusic.io/standard-license
Magic Tavern by Alexander Nakarada,Northern,Travel/Background,Good for celtic or feywild tavern,audio/magic-tavern-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/9139-magic-tavern,https://filmmusic.io/standard-license
Del Rio Bravo by Kevin MacLeod,Mexican,Party,Relaxed Festival feel. for accordian lovers,audio/del-rio-bravo-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/5706-del-rio-bravo,https://filmmusic.io/standard-license
Arabic Sorrow by MusicLFiles,Mid East,Somber,"Sad, slow piano",audio/arabic-sorrow-by-musiclfiles-from-filmmusic-io.mp3,https://filmmusic.io/song/7229-arabic-sorrow,https://filmmusic.io/standard-license
Arabic Big Bass by WinnieTheMoog,Mid East,Market/Tavern,Sitar-esque sound plus BASS!,audio/arabic-big-bass-by-winniethemoog-from-filmmusic-io.mp3,https://filmmusic.io/song/6371-arabic-big-bass,https://filmmusic.io/standard-license
Curse of the Scarab by Kevin MacLeod,Mid East,Ominous,Dungeon or fight music.,audio/curse-of-the-scarab-by-kevin-macleod-from-filmmusic-io.mp3,https://filmmusic.io/song/3573-curse-of-the-scarab,https://filmmusic.io/standard-license
Tavern Brawl (feat. Kevin MacLeod) by Alexander Nakarada,Northern,Market /Tavern,Good general Medieval music,audio/tavern-brawl-feat-kevin-macleod-by-alexander-nakarada-from-filmmusic-io.mp3,https://filmmusic.io/song/7935-tavern-brawl,https://filmmusic.io/standard-license
